Datazone,Population,Air.quality,Noise,Congestion,Road.Repairs,Road.Safety,Hassle.Costs,Physical.Activity,Excess.Cold,Excess.Heat,Dampness,Diet.Change,Total,,£ millions total
N20000001,738,0.63,0.18,0.12,0.08,0.02,-0.58,0.85,0.06,0.00,0.02,0.49,1.79,,2024 - 2050
N20000002,331,0.30,0.08,0.06,0.04,0.01,-0.27,0.23,0.02,0.00,0.01,0.23,0.79,,
N20000003,365,0.31,0.02,0.07,0.04,0.01,-0.28,0.30,0.03,0.00,0.01,0.24,0.74,,
N20000004,663,0.55,0.06,0.13,0.07,0.02,-0.51,0.08,0.12,0.00,0.01,0.43,0.94,,
N20000005,676,0.57,0.16,0.11,0.07,0.02,-0.53,0.75,0.06,0.00,0.02,0.45,1.58,,
N20000006,464,0.39,0.11,0.07,0.05,0.01,-0.36,0.01,0.03,0.00,0.01,0.30,0.64,,
N20000007,880,0.73,0.21,0.13,0.09,0.02,-0.68,0.05,0.06,0.00,0.02,0.57,1.22,,
N20000008,642,0.54,0.15,0.12,0.07,0.02,-0.50,0.09,0.05,0.00,0.02,0.42,0.93,,
N20000009,401,0.33,0.04,0.07,0.04,0.01,-0.31,0.03,0.03,0.00,0.01,0.26,0.54,,
N20000010,544,0.45,0.13,0.08,0.06,0.01,-0.42,0.36,0.03,0.00,0.01,0.35,1.00,,
N20000011,525,0.44,0.06,0.09,0.06,0.01,-0.41,0.10,0.09,0.00,0.01,0.34,0.81,,
N20000012,503,0.42,0.05,0.09,0.05,0.01,-0.39,0.07,0.09,0.00,0.01,0.33,0.77,,
N20000013,407,0.34,0.05,0.07,0.04,0.01,-0.32,0.10,0.06,0.00,0.01,0.27,0.61,,
N20000014,506,0.43,0.06,0.08,0.05,0.01,-0.40,0.12,0.09,0.00,0.01,0.33,0.80,,
N20000015,586,0.50,0.14,0.09,0.06,0.01,-0.46,0.19,0.10,0.00,0.01,0.39,0.98,,
N20000016,453,0.38,0.05,0.08,0.05,0.01,-0.35,0.50,0.09,0.00,0.01,0.29,1.11,,
N20000017,674,0.56,0.06,0.13,0.07,0.02,-0.52,0.07,0.13,0.00,0.01,0.44,0.98,,
N20000018,486,0.41,0.08,0.09,0.05,0.01,-0.38,0.08,0.03,0.00,0.01,0.32,0.78,,
N20000019,393,0.33,0.05,0.08,0.04,0.01,-0.30,0.14,0.03,0.00,0.01,0.26,0.69,,
N20000020,562,0.47,0.06,0.10,0.06,0.01,-0.44,0.04,0.04,0.00,0.02,0.37,0.77,,
N20000021,545,0.45,0.05,0.09,0.06,0.01,-0.42,0.03,0.03,0.00,0.01,0.36,0.73,,
N20000022,441,0.38,0.10,0.07,0.05,0.01,-0.35,0.10,0.07,0.00,0.01,0.29,0.69,,
N20000023,502,0.42,0.11,0.08,0.05,0.01,-0.39,0.05,0.03,0.00,0.01,0.33,0.73,,
N20000024,620,0.52,0.15,0.10,0.07,0.01,-0.48,0.03,0.04,0.00,0.02,0.40,0.88,,
N20000025,415,0.34,0.12,0.08,0.04,0.01,-0.32,0.01,0.03,0.00,0.01,0.27,0.58,,
N20000026,554,0.46,0.13,0.08,0.06,0.01,-0.43,0.01,0.03,0.00,0.01,0.36,0.74,,
N20000027,558,0.46,0.11,0.10,0.06,0.01,-0.43,0.86,0.10,0.00,0.01,0.36,1.65,,
N20000028,550,0.46,0.13,0.08,0.06,0.01,-0.42,0.02,0.04,0.00,0.01,0.36,0.76,,
N20000029,552,0.46,0.13,0.08,0.06,0.01,-0.43,0.11,0.03,0.00,0.01,0.36,0.84,,
N20000030,496,0.41,0.12,0.07,0.05,0.01,-0.38,0.02,0.03,0.00,0.01,0.32,0.68,,
N20000031,531,0.44,0.12,0.07,0.06,0.01,-0.41,0.70,0.12,0.00,0.01,0.35,1.50,,
N20000032,459,0.38,0.11,0.07,0.05,0.01,-0.35,0.09,0.02,0.00,0.01,0.30,0.69,,
N20000033,536,0.48,0.13,0.10,0.06,0.01,-0.44,0.74,0.04,0.00,0.01,0.37,1.43,,
N20000034,439,0.37,0.11,0.07,0.05,0.01,-0.34,0.02,0.03,0.00,0.01,0.29,0.63,,
N20000035,671,0.55,0.16,0.12,0.07,0.02,-0.52,0.12,0.04,0.00,0.02,0.44,0.94,,
N20000036,374,0.31,0.06,0.07,0.04,0.01,-0.29,0.08,0.07,0.00,0.01,0.24,0.56,,
N20000037,423,0.35,0.12,0.07,0.04,0.01,-0.33,0.02,0.03,0.00,0.01,0.28,0.59,,
N20000038,628,0.52,0.08,0.11,0.07,0.02,-0.49,0.04,0.04,0.00,0.02,0.41,0.83,,
N20000039,499,0.42,0.11,0.09,0.05,0.01,-0.40,0.06,0.04,0.00,0.01,0.33,0.72,,
N20000040,371,0.31,0.08,0.07,0.04,0.01,-0.29,0.02,0.02,0.00,0.01,0.24,0.51,,
N20000041,931,0.76,0.26,0.15,0.10,0.02,-0.72,0.05,0.06,0.00,0.03,0.61,1.29,,
N20000042,661,0.54,0.19,0.11,0.07,0.02,-0.51,0.02,0.04,0.00,0.02,0.43,0.95,,
N20000043,820,0.67,0.26,0.13,0.09,0.02,-0.64,0.04,0.05,0.00,0.02,0.54,1.16,,
N20000044,493,0.41,0.10,0.09,0.05,0.01,-0.38,0.26,0.11,0.00,0.01,0.32,0.90,,
N20000045,466,0.38,0.09,0.08,0.05,0.01,-0.36,0.02,0.03,0.00,0.01,0.30,0.60,,
N20000046,570,0.47,0.17,0.11,0.06,0.01,-0.44,0.59,0.15,0.00,0.01,0.37,1.34,,
N20000047,516,0.43,0.06,0.09,0.05,0.01,-0.40,0.14,0.10,0.00,0.01,0.34,0.83,,
N20000048,562,0.46,0.18,0.09,0.06,0.01,-0.43,0.02,0.04,0.00,0.01,0.37,0.79,,
N20000049,554,0.46,0.11,0.09,0.06,0.01,-0.43,0.11,0.10,0.00,0.01,0.36,0.88,,
N20000050,425,0.35,0.11,0.07,0.05,0.01,-0.33,0.00,0.03,0.00,0.01,0.28,0.57,,
N20000051,493,0.42,0.09,0.09,0.05,0.01,-0.39,0.32,0.09,0.00,0.01,0.33,1.03,,
N20000052,501,0.41,0.14,0.08,0.05,0.01,-0.39,0.79,0.08,0.00,0.01,0.33,1.49,,
N20000053,408,0.34,0.05,0.07,0.04,0.01,-0.32,0.14,0.07,0.00,0.01,0.27,0.69,,
N20000054,517,0.43,0.03,0.10,0.06,0.01,-0.40,0.12,0.11,0.00,0.01,0.34,0.79,,
N20000055,336,0.28,0.11,0.06,0.04,0.01,-0.26,0.01,0.02,0.00,0.01,0.22,0.48,,
N20000056,483,0.40,0.13,0.08,0.05,0.01,-0.37,0.00,0.03,0.00,0.01,0.31,0.65,,
N20000057,465,0.38,0.13,0.07,0.05,0.01,-0.36,0.00,0.03,0.00,0.01,0.30,0.62,,
N20000058,415,0.34,0.08,0.07,0.04,0.01,-0.32,0.02,0.02,0.00,0.01,0.27,0.53,,
N20000059,413,0.34,0.10,0.08,0.04,0.01,-0.32,0.04,0.03,0.00,0.01,0.27,0.56,,
N20000060,355,0.29,0.08,0.06,0.04,0.01,-0.28,0.01,0.02,0.00,0.01,0.23,0.47,,
N20000061,382,0.32,0.07,0.06,0.04,0.01,-0.29,0.04,0.03,0.00,0.01,0.25,0.47,,
N20000062,597,0.49,0.12,0.10,0.06,0.01,-0.46,0.02,0.04,0.00,0.02,0.39,0.77,,
N20000063,354,0.29,0.06,0.06,0.04,0.01,-0.27,0.03,0.02,0.00,0.01,0.23,0.46,,
N20000064,391,0.32,0.05,0.07,0.04,0.01,-0.30,0.19,0.03,0.00,0.01,0.25,0.70,,
N20000065,491,0.40,0.11,0.08,0.05,0.01,-0.38,0.01,0.03,0.00,0.01,0.32,0.66,,
N20000066,325,0.27,0.08,0.06,0.03,0.01,-0.25,0.01,0.02,0.00,0.01,0.21,0.44,,
N20000067,521,0.43,0.09,0.09,0.06,0.01,-0.40,0.05,0.04,0.00,0.01,0.34,0.64,,
N20000068,423,0.35,0.13,0.08,0.04,0.01,-0.33,0.01,0.03,0.00,0.01,0.28,0.58,,
N20000069,461,0.38,0.10,0.08,0.05,0.01,-0.36,0.08,0.02,0.00,0.01,0.30,0.64,,
N20000070,426,0.35,0.11,0.07,0.05,0.01,-0.33,0.07,0.02,0.00,0.01,0.28,0.60,,
N20000071,337,0.28,0.03,0.06,0.04,0.01,-0.26,0.02,0.02,0.00,0.01,0.22,0.44,,
N20000072,559,0.46,0.12,0.10,0.06,0.01,-0.43,0.11,0.03,0.00,0.01,0.36,0.80,,
N20000073,473,0.39,0.11,0.08,0.05,0.01,-0.37,0.01,0.02,0.00,0.01,0.31,0.62,,
N20000074,468,0.38,0.14,0.07,0.05,0.01,-0.36,0.01,0.03,0.00,0.01,0.30,0.63,,
N20000075,432,0.35,0.10,0.08,0.05,0.01,-0.33,0.08,0.02,0.00,0.01,0.28,0.62,,
N20000076,373,0.31,0.09,0.07,0.04,0.01,-0.29,0.01,0.02,0.00,0.01,0.24,0.50,,
N20000077,306,0.25,0.06,0.05,0.03,0.01,-0.24,0.05,0.02,0.00,0.01,0.20,0.43,,
N20000078,324,0.27,0.06,0.06,0.03,0.01,-0.26,0.24,0.03,0.00,0.01,0.21,0.66,,
N20000079,387,0.32,0.03,0.07,0.04,0.01,-0.30,0.03,0.07,0.00,0.01,0.25,0.52,,
N20000080,633,0.52,0.11,0.11,0.07,0.02,-0.49,0.11,0.03,0.00,0.01,0.41,0.88,,
N20000081,334,0.27,0.09,0.06,0.04,0.01,-0.26,0.06,0.02,0.00,0.01,0.22,0.48,,
N20000082,452,0.37,0.10,0.08,0.05,0.01,-0.35,0.02,0.03,0.00,0.01,0.29,0.59,,
N20000083,270,0.22,0.05,0.05,0.03,0.01,-0.21,0.05,0.01,0.00,0.01,0.18,0.37,,
N20000084,288,0.24,0.06,0.05,0.03,0.01,-0.23,0.05,0.02,0.00,0.01,0.19,0.41,,
N20000085,594,0.49,0.16,0.10,0.06,0.01,-0.46,0.10,0.04,0.00,0.02,0.39,0.87,,
N20000086,611,0.51,0.14,0.10,0.06,0.01,-0.47,0.02,0.04,0.00,0.02,0.40,0.82,,
N20000087,473,0.39,0.05,0.08,0.05,0.01,-0.37,0.01,0.03,0.00,0.01,0.31,0.62,,
N20000088,485,0.42,0.12,0.08,0.05,0.01,-0.39,0.58,0.05,0.00,0.01,0.32,1.22,,
N20000089,680,0.57,0.17,0.10,0.07,0.02,-0.53,0.16,0.12,0.00,0.01,0.44,1.09,,
N20000090,804,0.68,0.05,0.14,0.09,0.02,-0.63,0.63,0.08,0.00,0.02,0.53,1.61,,
N20000091,509,0.44,0.12,0.09,0.06,0.01,-0.41,0.52,0.06,0.00,0.01,0.35,1.16,,
N20000092,802,0.67,0.06,0.14,0.09,0.02,-0.62,0.13,0.14,0.00,0.01,0.52,1.16,,
N20000093,408,0.34,0.05,0.07,0.04,0.01,-0.32,0.08,0.07,0.00,0.01,0.27,0.64,,
N20000094,427,0.36,0.10,0.07,0.05,0.01,-0.34,0.09,0.07,0.00,0.01,0.28,0.67,,
N20000095,397,0.33,0.04,0.07,0.04,0.01,-0.31,0.06,0.07,0.00,0.01,0.26,0.58,,
N20000096,582,0.49,0.13,0.10,0.06,0.01,-0.46,0.37,0.10,0.00,0.01,0.40,1.19,,
N20000097,574,0.48,0.06,0.10,0.06,0.01,-0.44,0.14,0.10,0.00,0.01,0.37,0.91,,
N20000098,383,0.32,0.05,0.07,0.04,0.01,-0.30,0.08,0.07,0.00,0.01,0.25,0.60,,
N20000099,464,0.39,0.11,0.07,0.05,0.01,-0.36,0.31,0.03,0.00,0.01,0.30,0.86,,
N20000100,705,0.59,0.08,0.12,0.07,0.02,-0.54,0.05,0.05,0.00,0.02,0.46,0.97,,
N20000101,463,0.38,0.11,0.07,0.05,0.01,-0.36,0.02,0.02,0.00,0.01,0.30,0.62,,
N20000102,475,0.40,0.04,0.07,0.05,0.01,-0.37,0.01,0.03,0.00,0.01,0.31,0.60,,
N20000103,353,0.29,0.04,0.05,0.04,0.01,-0.27,0.01,0.02,0.00,0.01,0.23,0.48,,
N20000104,533,0.45,0.04,0.10,0.06,0.01,-0.41,0.08,0.04,0.00,0.01,0.35,0.73,,
N20000105,408,0.34,0.04,0.07,0.04,0.01,-0.32,0.02,0.02,0.00,0.01,0.27,0.53,,
N20000106,413,0.35,0.05,0.07,0.04,0.01,-0.32,0.06,0.03,0.00,0.01,0.27,0.62,,
N20000107,402,0.33,0.04,0.07,0.04,0.01,-0.31,0.02,0.02,0.00,0.01,0.26,0.52,,
N20000108,349,0.29,0.05,0.07,0.04,0.01,-0.27,0.03,0.02,0.00,0.01,0.23,0.48,,
N20000109,552,0.46,0.06,0.10,0.06,0.01,-0.43,0.08,0.03,0.00,0.01,0.36,0.79,,
N20000110,661,0.55,0.05,0.12,0.07,0.02,-0.51,0.03,0.04,0.00,0.02,0.43,0.84,,
N20000111,557,0.46,0.05,0.09,0.06,0.01,-0.43,0.06,0.03,0.00,0.01,0.36,0.73,,
N20000112,323,0.27,0.04,0.05,0.03,0.01,-0.25,0.01,0.02,0.00,0.01,0.21,0.43,,
N20000113,402,0.33,0.05,0.07,0.04,0.01,-0.31,0.01,0.02,0.00,0.01,0.26,0.54,,
N20000114,439,0.37,0.05,0.08,0.05,0.01,-0.34,0.17,0.07,0.00,0.01,0.29,0.76,,
N20000115,727,0.60,0.08,0.13,0.08,0.02,-0.56,0.20,0.13,0.00,0.01,0.47,1.18,,
N20000116,311,0.26,0.08,0.05,0.03,0.01,-0.24,0.05,0.02,0.00,0.01,0.20,0.46,,
N20000117,343,0.30,0.07,0.06,0.04,0.01,-0.28,0.22,0.06,0.00,0.01,0.23,0.68,,
N20000118,418,0.36,0.10,0.07,0.05,0.01,-0.33,0.30,0.07,0.00,0.01,0.28,0.83,,
N20000119,332,0.28,0.08,0.05,0.04,0.01,-0.26,0.15,0.06,0.00,0.01,0.22,0.61,,
N20000120,402,0.33,0.09,0.06,0.04,0.01,-0.31,0.01,0.02,0.00,0.01,0.26,0.55,,
N20000121,705,0.59,0.16,0.11,0.07,0.02,-0.54,0.02,0.04,0.00,0.02,0.46,0.95,,
N20000122,712,0.60,0.16,0.11,0.08,0.02,-0.55,0.24,0.04,0.00,0.02,0.47,1.18,,
N20000123,487,0.42,0.12,0.08,0.05,0.01,-0.39,0.12,0.04,0.00,0.01,0.33,0.87,,
N20000124,457,0.38,0.10,0.07,0.05,0.01,-0.35,0.02,0.03,0.00,0.01,0.30,0.62,,
N20000125,438,0.36,0.07,0.08,0.05,0.01,-0.34,0.02,0.03,0.00,0.01,0.28,0.56,,
N20000126,611,0.51,0.13,0.09,0.06,0.01,-0.47,0.06,0.04,0.00,0.02,0.40,0.77,,
N20000127,193,0.16,0.03,0.03,0.02,0.00,-0.15,0.04,0.03,0.00,0.00,0.13,0.29,,
N20000128,701,0.58,0.18,0.11,0.07,0.02,-0.54,0.07,0.04,0.00,0.02,0.46,0.99,,
N20000129,826,0.69,0.16,0.14,0.09,0.02,-0.64,0.09,0.05,0.00,0.02,0.54,1.11,,
N20000130,561,0.47,0.07,0.10,0.06,0.01,-0.44,0.07,0.09,0.00,0.01,0.37,0.81,,
N20000131,390,0.32,0.07,0.07,0.04,0.01,-0.30,0.10,0.06,0.00,0.01,0.25,0.65,,
N20000132,606,0.49,0.16,0.11,0.06,0.01,-0.47,0.02,0.04,0.00,0.02,0.39,0.81,,
N20000133,740,0.61,0.14,0.13,0.08,0.02,-0.57,0.02,0.04,0.00,0.02,0.48,0.96,,
N20000134,676,0.58,0.14,0.12,0.07,0.02,-0.54,0.35,0.10,0.00,0.01,0.45,1.24,,
N20000135,523,0.44,0.13,0.09,0.06,0.01,-0.41,0.04,0.04,0.00,0.01,0.35,0.73,,
N20000136,493,0.41,0.10,0.08,0.05,0.01,-0.38,0.02,0.02,0.00,0.01,0.32,0.66,,
N20000137,456,0.37,0.10,0.09,0.05,0.01,-0.35,0.01,0.02,0.00,0.01,0.30,0.61,,
N20000138,497,0.41,0.14,0.09,0.05,0.01,-0.38,0.09,0.03,0.00,0.01,0.33,0.75,,
N20000139,462,0.38,0.11,0.09,0.05,0.01,-0.36,0.02,0.02,0.00,0.01,0.30,0.62,,
N20000140,719,0.59,0.15,0.14,0.08,0.02,-0.56,0.02,0.04,0.00,0.02,0.47,0.96,,
N20000141,351,0.29,0.06,0.06,0.04,0.01,-0.27,0.06,0.02,0.00,0.01,0.23,0.50,,
N20000142,349,0.29,0.08,0.06,0.04,0.01,-0.27,0.01,0.02,0.00,0.01,0.23,0.46,,
N20000143,625,0.51,0.13,0.13,0.07,0.01,-0.48,0.02,0.03,0.00,0.02,0.41,0.84,,
N20000144,382,0.31,0.09,0.06,0.04,0.01,-0.30,0.01,0.02,0.00,0.01,0.25,0.50,,
N20000145,260,0.21,0.06,0.05,0.03,0.01,-0.20,0.01,0.01,0.00,0.01,0.17,0.35,,
N20000146,402,0.33,0.09,0.06,0.04,0.01,-0.31,0.01,0.02,0.00,0.01,0.26,0.52,,
N20000147,503,0.41,0.11,0.10,0.05,0.01,-0.39,0.01,0.03,0.00,0.01,0.33,0.68,,
N20000148,310,0.26,0.09,0.05,0.03,0.01,-0.24,0.09,0.02,0.00,0.01,0.21,0.47,,
N20000149,615,0.50,0.16,0.10,0.07,0.01,-0.48,0.04,0.04,0.00,0.02,0.40,0.84,,
N20000150,319,0.26,0.12,0.06,0.03,0.01,-0.25,0.01,0.02,0.00,0.01,0.21,0.47,,
N20000151,609,0.50,0.18,0.10,0.06,0.01,-0.47,0.02,0.04,0.00,0.02,0.40,0.81,,
N20000152,368,0.31,0.05,0.07,0.04,0.01,-0.29,0.08,0.03,0.00,0.01,0.24,0.57,,
N20000153,546,0.45,0.14,0.09,0.06,0.01,-0.42,0.03,0.04,0.00,0.01,0.36,0.75,,
N20000154,786,0.65,0.19,0.14,0.08,0.02,-0.61,0.10,0.05,0.00,0.02,0.52,1.09,,
N20000155,355,0.29,0.10,0.07,0.04,0.01,-0.28,0.02,0.02,0.00,0.01,0.23,0.50,,
N20000156,674,0.56,0.19,0.12,0.07,0.02,-0.54,0.25,0.05,0.00,0.02,0.45,1.09,,
N20000157,675,0.56,0.18,0.12,0.07,0.02,-0.52,0.17,0.05,0.00,0.02,0.44,1.01,,
N20000158,596,0.49,0.15,0.09,0.06,0.01,-0.46,0.01,0.04,0.00,0.02,0.39,0.79,,
N20000159,385,0.33,0.10,0.07,0.04,0.01,-0.30,0.01,0.02,0.00,0.01,0.26,0.54,,
N20000160,365,0.30,0.09,0.06,0.04,0.01,-0.28,0.02,0.02,0.00,0.01,0.24,0.48,,
N20000161,547,0.45,0.10,0.11,0.06,0.01,-0.42,0.03,0.03,0.00,0.01,0.36,0.73,,
N20000162,748,0.61,0.17,0.13,0.08,0.02,-0.58,0.13,0.04,0.00,0.02,0.49,1.05,,
N20000163,532,0.44,0.11,0.09,0.06,0.01,-0.41,0.10,0.03,0.00,0.01,0.35,0.75,,
N20000164,570,0.47,0.06,0.11,0.06,0.01,-0.44,0.02,0.03,0.00,0.01,0.37,0.76,,
N20000165,460,0.39,0.12,0.09,0.05,0.01,-0.36,0.01,0.02,0.00,0.01,0.31,0.64,,
N20000166,392,0.32,0.14,0.06,0.04,0.01,-0.30,0.01,0.02,0.00,0.01,0.25,0.57,,
N20000167,307,0.25,0.09,0.05,0.03,0.01,-0.24,0.01,0.02,0.00,0.01,0.20,0.41,,
N20000168,428,0.35,0.08,0.08,0.05,0.01,-0.33,0.46,0.07,0.00,0.01,0.28,1.01,,
N20000169,429,0.35,0.08,0.08,0.05,0.01,-0.33,0.39,0.03,0.00,0.01,0.28,0.85,,
N20000170,474,0.40,0.08,0.09,0.05,0.01,-0.37,0.06,0.04,0.00,0.01,0.31,0.65,,
N20000171,456,0.38,0.10,0.08,0.05,0.01,-0.37,0.44,0.04,0.00,0.01,0.31,0.93,,
N20000172,596,0.49,0.13,0.12,0.06,0.01,-0.46,0.02,0.03,0.00,0.02,0.39,0.80,,
N20000173,639,0.53,0.15,0.12,0.07,0.02,-0.50,0.12,0.04,0.00,0.02,0.42,0.91,,
N20000174,623,0.51,0.12,0.12,0.07,0.01,-0.48,0.03,0.03,0.00,0.02,0.41,0.83,,
N20000175,440,0.36,0.08,0.08,0.05,0.01,-0.35,0.42,0.03,0.00,0.01,0.29,0.90,,
N20000176,411,0.34,0.07,0.07,0.04,0.01,-0.32,0.02,0.02,0.00,0.01,0.27,0.55,,
N20000177,353,0.29,0.08,0.06,0.04,0.01,-0.28,0.06,0.02,0.00,0.01,0.23,0.51,,
N20000178,439,0.36,0.10,0.08,0.05,0.01,-0.34,0.08,0.03,0.00,0.01,0.29,0.63,,
N20000179,591,0.49,0.11,0.11,0.06,0.01,-0.46,0.11,0.03,0.00,0.01,0.38,0.82,,
N20000180,482,0.40,0.10,0.09,0.05,0.01,-0.37,0.19,0.07,0.00,0.01,0.32,0.79,,
N20000181,462,0.38,0.10,0.09,0.05,0.01,-0.37,0.82,0.03,0.00,0.01,0.31,1.48,,
N20000182,680,0.57,0.15,0.12,0.07,0.02,-0.53,0.26,0.10,0.00,0.01,0.45,1.13,,
N20000183,423,0.35,0.10,0.08,0.05,0.01,-0.33,0.61,0.07,0.00,0.01,0.28,1.17,,
N20000184,416,0.34,0.07,0.07,0.04,0.01,-0.32,0.11,0.08,0.00,0.01,0.27,0.70,,
N20000185,242,0.20,0.04,0.04,0.03,0.01,-0.19,0.12,0.04,0.00,0.00,0.16,0.44,,
N20000186,203,0.17,0.02,0.04,0.02,0.00,-0.16,0.12,0.04,0.00,0.00,0.13,0.38,,
N20000187,371,0.31,0.05,0.07,0.04,0.01,-0.29,0.10,0.07,0.00,0.01,0.24,0.61,,
N20000188,501,0.41,0.06,0.09,0.05,0.01,-0.39,0.28,0.10,0.00,0.01,0.33,0.96,,
N20000189,572,0.47,0.10,0.11,0.06,0.01,-0.44,0.25,0.10,0.00,0.01,0.37,1.02,,
N20000190,358,0.30,0.05,0.07,0.04,0.01,-0.28,0.50,0.06,0.00,0.01,0.23,0.98,,
N20000191,404,0.33,0.07,0.07,0.04,0.01,-0.31,0.15,0.07,0.00,0.01,0.26,0.70,,
N20000192,259,0.21,0.04,0.05,0.03,0.01,-0.20,0.20,0.05,0.00,0.00,0.17,0.53,,
N20000193,238,0.20,0.02,0.04,0.03,0.01,-0.18,0.08,0.04,0.00,0.00,0.16,0.39,,
N20000194,357,0.30,0.05,0.06,0.04,0.01,-0.28,0.09,0.07,0.00,0.01,0.23,0.57,,
N20000195,531,0.44,0.10,0.10,0.06,0.01,-0.41,0.67,0.09,0.00,0.01,0.35,1.35,,
N20000196,216,0.18,0.06,0.04,0.02,0.01,-0.17,0.01,0.01,0.00,0.01,0.14,0.31,,
N20000197,213,0.18,0.08,0.04,0.02,0.01,-0.17,0.01,0.02,0.00,0.01,0.14,0.31,,
N20000198,359,0.29,0.11,0.07,0.04,0.01,-0.28,0.01,0.02,0.00,0.01,0.23,0.51,,
N20000199,512,0.42,0.08,0.10,0.05,0.01,-0.40,0.02,0.04,0.00,0.01,0.33,0.68,,
N20000200,561,0.49,0.16,0.10,0.06,0.01,-0.45,0.31,0.10,0.00,0.01,0.39,1.07,,
N20000201,567,0.48,0.12,0.10,0.06,0.01,-0.45,0.29,0.09,0.00,0.01,0.37,1.07,,
N20000202,398,0.33,0.04,0.08,0.04,0.01,-0.31,0.57,0.05,0.00,0.01,0.26,1.11,,
N20000203,314,0.26,0.04,0.06,0.03,0.01,-0.24,0.07,0.06,0.00,0.01,0.20,0.48,,
N20000204,380,0.31,0.05,0.07,0.04,0.01,-0.29,0.51,0.09,0.00,0.01,0.25,1.03,,
N20000205,319,0.27,0.06,0.06,0.03,0.01,-0.25,0.14,0.03,0.00,0.01,0.21,0.54,,
N20000206,283,0.24,0.08,0.05,0.03,0.01,-0.22,0.03,0.02,0.00,0.01,0.19,0.41,,
N20000207,445,0.38,0.12,0.09,0.05,0.01,-0.37,0.12,0.04,0.00,0.01,0.31,0.73,,
N20000208,484,0.39,0.04,0.09,0.05,0.01,-0.37,0.03,0.03,0.00,0.01,0.32,0.61,,
N20000209,499,0.41,0.15,0.09,0.05,0.01,-0.39,0.10,0.04,0.00,0.01,0.33,0.80,,
N20000210,659,0.54,0.20,0.12,0.07,0.02,-0.51,0.11,0.05,0.00,0.02,0.43,0.99,,
N20000211,614,0.51,0.07,0.12,0.07,0.01,-0.47,0.02,0.03,0.00,0.02,0.40,0.82,,
N20000212,513,0.43,0.05,0.09,0.05,0.01,-0.40,0.03,0.03,0.00,0.01,0.33,0.68,,
N20000213,391,0.32,0.08,0.08,0.04,0.01,-0.30,0.01,0.02,0.00,0.01,0.25,0.52,,
N20000214,322,0.27,0.06,0.05,0.03,0.01,-0.25,0.05,0.03,0.00,0.01,0.21,0.47,,
N20000215,500,0.41,0.12,0.08,0.05,0.01,-0.39,0.01,0.02,0.00,0.01,0.33,0.67,,
N20000216,280,0.23,0.06,0.05,0.03,0.01,-0.22,0.16,0.04,0.00,0.01,0.19,0.48,,
N20000217,595,0.49,0.13,0.11,0.06,0.01,-0.46,0.11,0.03,0.00,0.02,0.39,0.84,,
N20000218,584,0.49,0.11,0.11,0.06,0.01,-0.46,0.09,0.05,0.00,0.02,0.39,0.81,,
N20000219,722,0.60,0.17,0.13,0.08,0.02,-0.56,0.40,0.12,0.00,0.01,0.47,1.33,,
N20000220,434,0.37,0.11,0.08,0.05,0.01,-0.34,0.25,0.07,0.00,0.01,0.29,0.80,,
N20000221,524,0.43,0.17,0.08,0.06,0.01,-0.41,0.27,0.09,0.00,0.01,0.34,0.91,,
N20000222,484,0.40,0.15,0.08,0.05,0.01,-0.38,0.26,0.08,0.00,0.01,0.32,0.91,,
N20000223,492,0.44,0.11,0.10,0.05,0.01,-0.40,0.34,0.10,0.00,0.01,0.34,1.00,,
N20000224,461,0.38,0.11,0.08,0.05,0.01,-0.36,0.79,0.09,0.00,0.01,0.30,1.44,,
N20000225,310,0.26,0.05,0.06,0.03,0.01,-0.24,0.58,0.04,0.00,0.01,0.20,1.01,,
N20000226,605,0.49,0.20,0.09,0.06,0.01,-0.47,0.01,0.04,0.00,0.02,0.39,0.84,,
N20000227,489,0.40,0.09,0.10,0.05,0.01,-0.38,0.04,0.04,0.00,0.01,0.32,0.68,,
N20000228,426,0.36,0.06,0.09,0.05,0.01,-0.33,0.66,0.05,0.00,0.01,0.28,1.31,,
N20000229,462,0.39,0.09,0.09,0.05,0.01,-0.36,0.74,0.06,0.00,0.01,0.31,1.39,,
N20000230,522,0.43,0.15,0.10,0.06,0.01,-0.40,0.12,0.04,0.00,0.01,0.34,0.84,,
N20000231,488,0.41,0.15,0.08,0.05,0.01,-0.38,0.66,0.08,0.00,0.01,0.32,1.37,,
N20000232,316,0.26,0.05,0.06,0.03,0.01,-0.24,0.42,0.06,0.00,0.01,0.21,0.82,,
N20000233,479,0.40,0.10,0.08,0.05,0.01,-0.38,0.12,0.08,0.00,0.01,0.32,0.80,,
N20000234,422,0.35,0.11,0.07,0.04,0.01,-0.33,0.01,0.03,0.00,0.01,0.27,0.57,,
N20000235,366,0.32,0.09,0.08,0.04,0.01,-0.30,0.17,0.03,0.00,0.01,0.25,0.72,,
N20000236,441,0.36,0.11,0.07,0.05,0.01,-0.34,0.01,0.03,0.00,0.01,0.29,0.61,,
N20000237,415,0.34,0.10,0.07,0.04,0.01,-0.32,0.00,0.02,0.00,0.01,0.27,0.52,,
N20000238,584,0.48,0.13,0.09,0.06,0.01,-0.45,0.01,0.04,0.00,0.01,0.38,0.78,,
N20000239,463,0.39,0.09,0.07,0.05,0.01,-0.36,0.09,0.08,0.00,0.01,0.30,0.73,,
