Datazone,Population,Air.quality,Noise,Congestion,Road.Repairs,Road.Safety,Hassle.Costs,Physical.Activity,Excess.Cold,Excess.Heat,Dampness,Diet.Change,Total,,£ millions total
E01016490,2088,1.72,0.32,0.40,0.22,0.05,-1.61,3.09,0.62,0.00,0.02,1.36,6.37,,
E01016491,1830,1.52,0.20,0.33,0.19,0.04,-1.42,2.82,0.23,0.00,0.05,1.19,5.37,,
E01016492,1814,1.51,0.23,0.34,0.19,0.04,-1.40,4.09,0.19,0.00,0.05,1.18,6.22,,
E01016493,1259,1.08,0.16,0.24,0.14,0.03,-1.00,2.05,0.15,0.00,0.03,0.84,3.77,,
E01016494,1881,1.61,0.24,0.34,0.20,0.05,-1.52,3.33,0.23,0.00,0.05,1.27,5.74,,
E01016495,1472,1.24,0.24,0.27,0.16,0.04,-1.14,1.98,0.30,0.00,0.03,0.96,4.19,,
E01016496,1380,1.15,0.37,0.26,0.15,0.03,-1.10,3.45,0.12,0.00,0.04,0.92,5.41,,
E01016497,1395,1.17,0.32,0.26,0.15,0.03,-1.08,1.70,0.25,0.00,0.03,0.91,3.82,,
E01016498,1645,1.36,0.25,0.31,0.17,0.04,-1.27,1.56,0.48,0.00,0.01,1.07,3.93,,
E01016499,1354,1.13,0.06,0.24,0.14,0.03,-1.05,0.01,0.61,0.00,0.01,0.88,2.13,,
E01016500,1923,1.59,0.28,0.36,0.20,0.05,-1.48,1.43,0.82,0.00,0.01,1.25,4.69,,
E01016501,1754,1.46,0.16,0.33,0.19,0.04,-1.35,1.15,0.74,0.00,0.01,1.14,3.90,,
E01016502,1638,1.35,0.22,0.30,0.17,0.04,-1.26,1.54,0.69,0.00,0.01,1.07,4.27,,
E01016503,1667,1.37,0.31,0.32,0.18,0.04,-1.29,1.08,0.68,0.00,0.01,1.08,3.84,,
E01016504,1508,1.23,0.30,0.30,0.16,0.04,-1.16,1.92,0.49,0.00,0.01,0.98,4.18,,
E01016505,1842,1.52,0.29,0.34,0.20,0.04,-1.42,0.90,0.36,0.00,0.02,1.20,3.35,,
E01016506,1864,1.54,0.28,0.34,0.20,0.04,-1.44,2.73,0.22,0.00,0.04,1.21,5.28,,
E01016507,1896,1.56,0.34,0.35,0.20,0.05,-1.46,2.93,0.23,0.00,0.04,1.23,5.73,,
E01016508,2310,1.89,0.52,0.45,0.25,0.06,-1.78,4.38,0.67,0.00,0.03,1.50,7.65,,
E01016509,1709,1.42,0.19,0.30,0.18,0.04,-1.32,0.39,0.74,0.00,0.01,1.11,3.09,,
E01016510,2143,1.77,0.41,0.40,0.23,0.05,-1.65,1.40,0.87,0.00,0.01,1.39,4.96,,
E01016511,2380,1.98,0.26,0.45,0.25,0.06,-1.84,4.63,0.31,0.00,0.06,1.55,7.81,,
E01016514,2073,1.73,0.21,0.39,0.22,0.05,-1.61,3.94,0.75,0.00,0.02,1.35,6.97,,
E01016515,2060,1.69,0.42,0.38,0.22,0.05,-1.59,2.43,0.63,0.00,0.02,1.34,5.42,,
E01016516,1984,1.68,0.45,0.39,0.21,0.05,-1.56,2.75,0.55,0.00,0.03,1.30,5.98,,
E01016517,1740,1.44,0.24,0.33,0.18,0.04,-1.34,2.36,0.63,0.00,0.02,1.13,4.76,,
E01016518,1941,1.62,0.17,0.36,0.21,0.05,-1.50,3.89,0.22,0.00,0.05,1.26,6.18,,
E01016519,3043,2.49,0.66,0.60,0.32,0.07,-2.35,6.66,0.30,0.00,0.09,1.98,11.89,,
E01016520,1766,1.44,0.50,0.34,0.19,0.04,-1.36,1.89,0.60,0.00,0.01,1.15,4.50,,
E01016521,2081,1.72,0.26,0.37,0.22,0.05,-1.61,3.06,0.25,0.00,0.05,1.35,5.94,,
E01016522,1871,1.56,0.24,0.35,0.20,0.05,-1.45,3.09,0.60,0.00,0.02,1.23,5.82,,
E01016523,1604,1.33,0.32,0.30,0.17,0.04,-1.24,2.37,0.41,0.00,0.03,1.04,4.85,,
E01016524,2083,1.72,0.41,0.39,0.22,0.05,-1.61,3.34,0.48,0.00,0.03,1.36,6.56,,
E01016525,1809,1.50,0.25,0.34,0.19,0.04,-1.40,3.26,0.19,0.00,0.05,1.18,5.70,,
E01016598,1465,1.21,0.17,0.28,0.16,0.04,-1.13,3.44,0.14,0.00,0.04,0.95,5.55,,
E01016741,1503,1.23,0.31,0.28,0.16,0.04,-1.16,0.55,0.28,0.00,0.02,0.98,2.61,,
E01016684,1650,1.37,0.18,0.31,0.18,0.04,-1.27,0.89,0.74,0.00,0.01,1.07,3.42,,
E01016771,1367,1.14,0.06,0.24,0.15,0.03,-1.06,0.01,0.62,0.00,0.01,0.89,2.15,,
E01016772,1391,1.16,0.06,0.25,0.15,0.03,-1.07,0.01,0.63,0.00,0.01,0.90,2.19,,
E01016556,1821,1.52,0.07,0.32,0.19,0.04,-1.41,0.02,0.82,0.00,0.01,1.18,2.86,,
E01016623,1501,1.24,0.21,0.28,0.16,0.04,-1.16,0.37,0.66,0.00,0.01,0.98,2.73,,
E01016773,1963,1.63,0.19,0.39,0.21,0.05,-1.52,1.01,0.90,0.00,0.01,1.28,4.13,,
